DateTime,TimeToResponse,ResponseTimes,TimeToPM2.5,CurrentPM2.5,DrillingPoint,TimeToStartPoint
2025-05-18 17:22:48,13.1862,1,-1,11.2,-1,-1
2025-05-18 17:22:48,-1,-1,-1,11.2,Point1,13.78457
2025-05-18 17:22:50,-1,-1,15.91442,25.06161,-1,-1
2025-05-18 17:22:53,-1,-1,-1,34.75833,Point2,18.36485
2025-05-18 17:22:54,19.0048,2,-1,39.21391,-1,-1
2025-05-18 17:22:57,-1,-1,-1,55.66872,Point4,22.34501
2025-05-18 17:22:57,22.87419,3,-1,59.36925,-1,-1
2025-05-18 17:23:01,-1,-1,-1,76.73618,Point8,26.35437
2025-05-18 17:23:02,26.98,4,-1,81.09777,-1,-1
2025-05-18 17:23:05,-1,-1,-1,98.61857,Point5,30.4326
2025-05-18 17:23:06,31.14791,5,-1,103.5421,-1,-1
2025-05-18 17:23:08,33.42526,6,-1,117.1778,-1,-1
2025-05-18 17:23:09,-1,-1,-1,121.1306,Point10,34.55227
2025-05-18 17:23:13,38.00332,7,-1,142.1046,-1,-1
2025-05-18 17:23:13,-1,-1,-1,143.2106,Point6,38.28204
2025-05-18 17:23:16,41.59438,8,-1,163.2672,-1,-1
2025-05-18 17:23:17,-1,-1,-1,165.1198,Point7,42.0546
2025-05-18 17:23:20,-1,-1,-1,185.6778,Point3,45.6744
2025-05-18 17:23:21,46.10592,9,-1,188.7107,-1,-1
2025-05-18 17:23:24,49.58513,10,-1,206.5183,-1,-1
2025-05-18 17:23:24,-1,-1,-1,206.5183,Point9,49.62738
2025-05-18 17:34:16,-1,-1,-1,11.2,Point1,29.65538
2025-05-18 17:34:18,-1,-1,31.78471,25.06131,-1,-1
